openalex,study,cell,estimand,D1_gene_environment_correlation,D2_stratification_dynastic,D3_equal_environments,D4_sample_selection,D5_censoring,D6_reverse_causation_on_h2,D7_replication_asymmetry,overall,worst_domain_reason
W7169878769,"Brigos-Barrios et al., genetic trade-offs in fertility and longevity",SELECTION_DIFFERENTIAL,h2_SNP,MODERATE,SERIOUS,LOW,SERIOUS,SERIOUS,LOW,LOW,SERIOUS,"population-level estimate: inflated by ancestry structure, assortative mating and genetic nurture; the within-family comparison in this chapter is 0.27 against population SNP estimates of 0.03-0.10"
W2110308604,"Unraveling the intergenerational transmission of fertility (DF models,",H2_MODERATION,h2_by_birth_cohort_FEMALE_sibs,SERIOUS,LOW,LOW,LOW,LOW,SERIOUS,LOW,SERIOUS,"anonymous variance component: absorbs the heritability of education, health and partnering upstream of fertility; the estimand is genotype's total association, not a genetic effect holding the life course fixed"
W2110308604,"Unraveling the intergenerational transmission of fertility (DF models,",H2_MODERATION,h2_by_birth_cohort_MALE_sibs,SERIOUS,LOW,LOW,LOW,LOW,SERIOUS,LOW,SERIOUS,"anonymous variance component: absorbs the heritability of education, health and partnering upstream of fertility; the estimand is genotype's total association, not a genetic effect holding the life course fixed"
W2052070884,Genome-Wide Association Study of Parity in Bangladeshi Women,H2_FERTILITY,h2_SNP,SERIOUS,SERIOUS,LOW,MODERATE,SERIOUS,LOW,LOW,SERIOUS,"anonymous variance component: absorbs the heritability of education, health and partnering upstream of fertility; the estimand is genotype's total association, not a genetic effect holding the life course fixed"
W2092739320,"Byars/Stearns, demographic transition, variance in fitness, selection ",H2_MODERATION,standardized_linear_selection_gradient_via_fertility_HEIGHT,SERIOUS,LOW,LOW,MODERATE,LOW,SERIOUS,LOW,SERIOUS,"anonymous variance component: absorbs the heritability of education, health and partnering upstream of fertility; the estimand is genotype's total association, not a genetic effect holding the life course fixed"
W1985105482,"Pettay et al., natural selection on female life-history by socio-econo",PEDIGREE_RESPONSE,opportunity_for_selection_I_LRS_by_wealth,SERIOUS,LOW,LOW,LOW,LOW,LOW,MODERATE,SERIOUS,"anonymous variance component: absorbs the heritability of education, health and partnering upstream of fertility; the estimand is genotype's total association, not a genetic effect holding the life course fixed"
W2625700093,Reproductive fitness and genetic risk of psychiatric disorders in the ,SELECTION_DIFFERENTIAL,pgs_number_of_children_beta,MODERATE,MODERATE,LOW,MODERATE,MODERATE,LOW,LOW,MODERATE,named genetic measure; rGE still present but bounded
W2795856187,The Sociogenomics of Polygenic Scores of Reproductive Behavior and The,H2_FERTILITY,pgs_variance_explained,SERIOUS,MODERATE,LOW,MODERATE,MODERATE,LOW,LOW,SERIOUS,"anonymous variance component: absorbs the heritability of education, health and partnering upstream of fertility; the estimand is genotype's total association, not a genetic effect holding the life course fixed"
W2950098314,How Cognitive Genetic Factors Influence Fertility Outcomes: A Mediatio,SELECTION_DIFFERENTIAL,pgs_fertility_beta,MODERATE,MODERATE,LOW,MODERATE,MODERATE,LOW,LOW,MODERATE,named genetic measure; rGE still present but bounded
W2955592702,How Intelligence Affects Fertility 30 Years On: Retherford and Sewell ,SELECTION_DIFFERENTIAL,pgs_fertility_correlation,MODERATE,MODERATE,LOW,MODERATE,MODERATE,LOW,LOW,MODERATE,named genetic measure; rGE still present but bounded
W2969099478,The genetic relationship between female reproductive traits and six ps,SELECTION_DIFFERENTIAL,genetic_correlation_ADHD_AFB,MODERATE,MODERATE,LOW,MODERATE,MODERATE,LOW,LOW,MODERATE,named genetic measure; rGE still present but bounded
