id,job,title,doi,rung,ok,note,url
W3048194733,J6_UNCERTAIN,Taking It to the Limit: Effects of Increased Student Loan Availability,10.3386/w27658,cached,True,already on disk,
W3149697046,J1_DIRECT_ARM,Social Norms and Expectations about Student Loans and Family Formation,10.1111/soin.12416,cached,True,already on disk,
W2263669893,J1_DIRECT_ARM,The Impact of Early-Life Debt on Household Formation: An Empirical Inv,,cached,True,already on disk,
W4244129518,J1_DIRECT_ARM,"Student Loans, College Attendance and Completion, and Family Formation",10.31235/osf.io/rjcdw,cached,True,already on disk,
W2398611849,J6_UNCERTAIN,"Student loans, fertility, and economic growth",,cached,True,already on disk,
W2342654195,J1_DIRECT_ARM,Essays in the Economics of Education,,none,False,no_candidate_url,
W3087128620,J6_UNCERTAIN,State Investment in Higher Education: Effects on Human Capital Formati,10.3386/w27885,cached,True,already on disk,
W2609661222,J5_CHAIN_REST,Financial Benefits of Rapid Student Loan Repayment: An Analytic Framew,10.1177/0002716217701700,none,False,no_candidate_url,
W2997580530,J6_UNCERTAIN,Exploring IDR: A Comparison of Financial Situations and Behaviors Betw,10.55504/0884-9153.1695,none,False,route_blocked:200,
W4387715571,J1_DIRECT_ARM,"Student Debt Forgiveness and Economic Stability, Social Mobility, and ",10.1177/23780231231196778,none,False,route_blocked:403,
W2610153690,J6_UNCERTAIN,"Marriage, Millennials, and Massive Student Loan Debt",,none,False,route_blocked:403,
W3004829168,J5_CHAIN_REST,"Diplomas to Doorsteps: Education, Student Debt, and Homeownership",,none,False,no_candidate_url,
W951098834,J6_UNCERTAIN,"Essays On Family Demography, Household Finance, And Economics Of The F",,cached,True,already on disk,
W3125830129,J3_IDENTIFIED_CHAIN,Student Loans and Homeownership,10.1086/704609,cached,True,already on disk,
W2582829156,J5_CHAIN_REST,Homeownership among Young Americans: A Look at Student Loan Debt and B,10.1111/joca.12143,none,False,no_candidate_url,
W2339614289,J3_IDENTIFIED_CHAIN,On the Effect of Student Loans on Access to Homeownership,10.17016/feds.2016.010,cached,True,already on disk,
W3019392043,J4_INTENTIONS,"Parents, Partners, Plans, and Promises: The Relational Work of Student",10.1177/2378023120915003,none,False,route_blocked:403,
W2520951327,J5_CHAIN_REST,The impact of student loans on homeownership,,none,False,no_candidate_url,
W2890747961,J1_DIRECT_ARM,Graduate indebtedness: its perceived effects on behaviour and life cho,10.5287/ora-wvdmmxyyp,cached,True,already on disk,
W2884993378,J1_DIRECT_ARM,Student debt: a HECS on fertility?,,none,False,no_candidate_url,
W2299195121,J1_DIRECT_ARM,The Effects of Student Loan Debt on the Transition to Parenthood,,none,False,no_candidate_url,
W4393381011,J1_DIRECT_ARM,The Long-Run Effects of Federal Student Loans on Fertility and Social ,10.2139/ssrn.4747952,none,False,route_blocked:403,
W2521870107,J6_UNCERTAIN,Student Loan Debt: Causes and Consequences,,cached,True,already on disk,
W2570833902,J5_CHAIN_REST,"Into the Red and Back to the Nest? Student Debt, College Completion, a",10.1177/0038040716685873,none,False,route_blocked:200,
W1972583861,J3_IDENTIFIED_CHAIN,Effects of college educational debt on graduate school attendance and ,10.1080/09645292.2010.545204,none,False,no_candidate_url,
W2892164227,J5_CHAIN_REST,Is Student Debt Compromising Homeownership as a Wealth-Building Tool?,10.7936/k7542n34,none,False,route_blocked:200,
W3130329912,J5_CHAIN_REST,Student loan debt and first-time home buying in USA,10.1108/ijhma-09-2020-0118,none,False,no_candidate_url,
W2923622001,J5_CHAIN_REST,The Role of Federal and Private Student Loans in Homeownership Decisio,10.1111/joca.12248,none,False,route_blocked:403,
W4405547777,J6_UNCERTAIN,Higher Education Loan Schemes Across the Globe: A Systematic Review on,10.3390/jrfm17120566,none,False,empty_or_tiny:403,
W4400944448,J6_UNCERTAIN,Student Loan Forgiveness,10.2139/ssrn.4899176,none,False,route_blocked:403,
W4293510681,J6_UNCERTAIN,"Boomerang College Kids: Unemployment, Job Mismatch and Coresidence",10.3386/w30397,cached,True,already on disk,
W7111705583,J5_CHAIN_REST,The Role Of Student Loan Debt On Delayed Homeownership Among Black Ame,,none,False,no_candidate_url,
W2788866799,J5_CHAIN_REST,The Effect of Educational Debt on the Probability of Homeownership for,,none,False,no_candidate_url,
W2780497204,J6_UNCERTAIN,Factors Impacting Housing Tenure Choice of Canadian Young Adults,,cached,True,already on disk,
W2996230583,J6_UNCERTAIN,The Boomerang College Kids: Coresidence and Job Mismatch,,none,False,no_candidate_url,
W3097444168,J6_UNCERTAIN,Bridging the Financial Gap Among Young People,10.47611/jsrhs.v9i1.1166,none,False,empty_or_tiny:523,
W2273606255,J5_CHAIN_REST,Is Student Loan Debt Discouraging Homeownership among Young Adults?,10.1086/684587,none,False,no_candidate_url,
W2343191257,J3_IDENTIFIED_CHAIN,Student loans or marriage? A look at the highly educated,10.1016/j.econedurev.2016.04.006,none,False,no_candidate_url,
W2120314929,J5_CHAIN_REST,The Changing Route to Owner Occupation: The Impact of Student Debt,10.1080/02673030903361656,none,False,no_candidate_url,
W2893696090,J2_DECISIVE_TITLE_ONLY,The Changing Nature of the Association Between Student Loan Debt and M,10.1007/s10834-018-9591-6,none,False,no_candidate_url,
W3082403705,J5_CHAIN_REST,Millennials’ Future Homeownership and the Role of Student Loan Debt,10.1111/fcsr.12374,none,False,no_candidate_url,
W3164278014,J5_CHAIN_REST,Can Student Loan Debt Explain Low Homeownership Rates for Young Adults,,none,False,no_candidate_url,
W203953773,J1_DIRECT_ARM,Life After Debt: Results of the National Student Loan Survey Selected ,10.55504/0884-9153.1102,none,False,route_blocked:200,
W3122682245,J5_CHAIN_REST,Does Student Loan Debt Structure Young People’s Housing Tenure? Eviden,10.1017/s004727942000077x,none,False,route_blocked:200,
W3207118603,J5_CHAIN_REST,“Longer than I Would’ve Originally Liked and Originally Thought”: Post,10.1177/07311214211052019,none,False,no_candidate_url,
W2020709868,J5_CHAIN_REST,Determinants of graduates' demand for housing,10.1080/135048599353492,none,False,no_candidate_url,
W2589605118,J2_DECISIVE_TITLE_ONLY,The Dividing Line between Haves and Have-Nots in Home Ownership: Educa,,none,False,no_candidate_url,
W1819033711,J6_UNCERTAIN,Collision of student loan debt and joint marital taxation,,none,False,no_candidate_url,
W2460938938,J5_CHAIN_REST,Does Post-recessionary Student Loan Debt Negatively Impact the Likelih,,none,False,route_blocked:200,
W4252385027,J6_UNCERTAIN,"Sharing or Limiting the Wealth? Coresidence, Parental Support, and Wea",10.31235/osf.io/hf53d,none,False,route_blocked:200,
W3108773818,J5_CHAIN_REST,The Impact of Student Loans on Marriage and Marriage Expectations: Bas,10.38162/jome.49.3.2,none,False,no_candidate_url,
W3038199663,J5_CHAIN_REST,Student debt overhang: imprint on homeownership and the economy,10.1057/s11369-020-00181-5,none,False,no_candidate_url,
W4310672664,J5_CHAIN_REST,Student Loans and Housing Behaviors: Focused on Korean Millennials,10.24957/hsr.2022.30.4.5,none,False,no_candidate_url,
W4409745483,J5_CHAIN_REST,Student Loans and Housing Behaviors: Evidence from South Korea,10.1061/jupddm.upeng-5658,none,False,no_candidate_url,
W246286485,J6_UNCERTAIN,"I Love You, Brad, But You Reduce My Student Loan Eligibility: The Peri",,none,False,no_candidate_url,
W2889553829,J6_UNCERTAIN,Time to Homeownership and Mortgage Design,10.15396/eres2018_298,cached,True,already on disk,
W2938012369,J5_CHAIN_REST,The Effect of Student Loan Debt on Homeownership,,none,False,no_candidate_url,
W2929941230,J5_CHAIN_REST,What is Disrupting Homeownership? An Analysis of the Impact of Student,,none,False,no_candidate_url,
W2595983643,J5_CHAIN_REST,The Effect of Student Loans in Homeownership,,none,False,no_candidate_url,
W2172818350,J5_CHAIN_REST,Do Student Loans Delay Marriage,,none,False,no_candidate_url,
W3202495117,J6_UNCERTAIN,Indebted and Drained: Student Loans and Rural America,10.22004/ag.econ.304669,none,False,route_blocked:202,
W4399121539,J2_DECISIVE_TITLE_ONLY,Student Loan Relief and Home Purchase,10.2139/ssrn.4846753,none,False,route_blocked:403,
W2771870508,J6_UNCERTAIN,Does Student Loan Affect Borrowing by Young Households?,10.13140/rg.2.2.22327.52643,none,False,route_blocked:403,
W2800620990,J5_CHAIN_REST,Student Loan and Marriage: Focusing on Female Graduates from 4-Year Un,10.15709/hswr.2018.38.1.520,none,False,route_blocked:200,
W2947994445,J5_CHAIN_REST,Student Debt vs. Homeownership,,none,False,no_candidate_url,
W4246949417,J5_CHAIN_REST,"Student Debt, Homeownership, and Wealth Accumulation over the Life Cyc",10.2139/ssrn.3889908,none,False,route_blocked:403,
W2954725581,J6_UNCERTAIN,Is the dream still alive? Tracking homeownership amidchanging economic,,none,False,no_candidate_url,
W3009852647,J5_CHAIN_REST,Household Formation within the “Boomerang Generation”,,none,False,no_candidate_url,
W2890289377,J6_UNCERTAIN,Millennial Perceptions on Homeownership and Financial Planning Decisio,10.15760/etd.6340,none,False,route_blocked:200,
W2924329436,J5_CHAIN_REST,Are Millennials Pursuing Higher Education at the Cost of Owning Homes,,none,False,no_candidate_url,
W2017293374,J1_DIRECT_ARM,Medical student debt and major life choices other than specialty,10.3402/meo.v19.25603,none,False,route_blocked:200,
W2791776116,J5_CHAIN_REST,"Student Loan Debt, Educational Attainment, and Tenure Choice",10.1080/09645292.2018.1430749,none,False,no_candidate_url,
W2626445490,J5_CHAIN_REST,Does Debt Discourage Marriage Early in Adulthood,,none,False,no_candidate_url,
W2112577389,J5_CHAIN_REST,"Debt, Cohabitation, and Marriage in Young Adulthood",10.1007/s13524-014-0333-6,none,False,route_blocked:200,
W2372591833,J6_UNCERTAIN,Effect of Educational Debt on Emergency Medicine Residents: A Qualitat,10.1016/j.annemergmed.2016.04.013,none,False,no_candidate_url,
W3123681048,J5_CHAIN_REST,Student loan debt and economic outcomes,,none,False,no_candidate_url,
W2396477504,J6_UNCERTAIN,"Student debt amongst junior doctors in New Zealand; part 1: quantity, ",,none,False,no_candidate_url,
W3191757927,J5_CHAIN_REST,Go Big or Buy a Home: The Impact of Student Debt on Career and Housing,10.2139/ssrn.3805220,none,False,route_blocked:403,
W3123535182,J3_IDENTIFIED_CHAIN,Effects of College Educational Debt on Graduate School Attendance and ,10.2139/ssrn.942793,none,False,route_blocked:403,
W3044697838,J1_DIRECT_ARM,Married with Children? The Role of Student Loan Debt,10.2139/ssrn.3458547,none,False,route_blocked:403,
W194572797,J6_UNCERTAIN,The influence of student loan debt burden on the life choices of Afric,,none,False,no_candidate_url,
W2907864296,J5_CHAIN_REST,Extending homeownership opportunities to prospective borrowers burdene,,none,False,no_candidate_url,
W3159832528,J5_CHAIN_REST,How the Rise in Student Loan Debt Affects Residential Real Estate,,none,False,route_blocked:200,
W1515111707,J2_DECISIVE_TITLE_ONLY,"The Role of Student Debt, Consumer Debt, and Assets in Union Formation",,none,False,no_candidate_url,
W4404078854,J5_CHAIN_REST,Analysis of the Broad Economic Implications of Student Debt,10.58445/rars.1931,0_best_oa,True,ok:200,https://research-archive.org/index.php/rars/preprint/download/1931/2726/2396
W7112675524,J6_UNCERTAIN,An Examination of Financial Stress: Human Capital and the Impact of Bo,,none,False,no_candidate_url,
W2521090653,J5_CHAIN_REST,Essays in public economics,,none,False,empty_or_tiny:200,
W7106333832,J6_UNCERTAIN,Student Debt and the Cinderella Effect,10.2139/ssrn.5780222,none,False,route_blocked:403,
W3125351011,J5_CHAIN_REST,Student Loans and Homeownership Trends,10.17016/2380-7172.0031,none,False,route_blocked:404,
W2735179271,J2_DECISIVE_TITLE_ONLY,"Echoes of rising tuition in students’ borrowing, educational attainmen",10.1016/j.jue.2020.103298,0_best_oa,True,ok:200,https://www.newyorkfed.org/medialibrary/media/research/staff_reports/sr820.pdf?la=en
W4312598895,J6_UNCERTAIN,Jubilee and Jubilation: An Examination of the Relationship between Pub,10.2139/ssrn.4288699,none,False,route_blocked:403,
W270012907,J5_CHAIN_REST,Returning to the nest: Debt and parental co-residence among young adul,10.1016/j.labeco.2017.12.006,0_best_oa,True,ok:200,http://www.federalreserve.gov/econresdata/feds/2014/files/201480pap.pdf
W2892240300,J5_CHAIN_REST,"The Impact of Student Debt on Education, Career, and Marriage Choices ",10.3386/w23453,0_best_oa,True,ok:200,https://doi.org/10.3386/w23453
W7134114710,J6_UNCERTAIN,Implicit Tax Rates and Marriage,10.2139/ssrn.6257179,none,False,route_blocked:403,
W581529741,J1_DIRECT_ARM,Can’t afford a baby? Debt and young Americans,10.1016/j.rssm.2015.05.003,none,False,route_blocked:200,
W1527789654,J5_CHAIN_REST,"Debt, Jobs, or Housing: What's Keeping Millennials at Home?",10.2139/ssrn.2530691,none,False,route_blocked:403,
W2991248069,J6_UNCERTAIN,Influence of Student Loan Debt on General Surgery Resident Career and ,10.1016/j.jamcollsurg.2019.10.016,none,False,no_candidate_url,
W2772513074,J6_UNCERTAIN,A Survey of Pediatric Dentists and Dental Residents: Does educational ,,none,False,empty_or_tiny:000,
W4410512045,J1_DIRECT_ARM,Student Educational Loans and Life-Stage Milestones,10.33423/jabe.v27i3.7651,0_best_oa,True,ok:200,https://articlegateway.com/index.php/JABE/article/download/7651/7236
