paperId,title,workstream,design,setting,reform,fertility_outcome,effect_summary,completed_fertility,mechanism,overall_preliminary_risk_of_bias,source_locator,pdf_path
W3212471012,Maternal education and child health: Causal evidence from Denmark,TEMPO_COMPULSORY_SCHOOLING,Fuzzy regression discontinuity,Denmark,Compulsory schooling raised from 7 to 9 years in 1972,"Number of children, any child, and age at first birth","No effect on having children or number of children; age at first birth postponed about 0.5 year, marginally significant",No causal effect on number of children,Decreased teen pregnancy,MODERATE,PDF Table 1; Tables 2-3 first stage; Table 6 and discussion,literature/pdfs/compulsory-education/W3212471012__maternal-education-and-child-health-denmark.pdf
W3125141375,Technological Progress and Economic Transformation,CHILD_ECONOMIC_VALUE_THEORY,Calibrated macroeconomic theory,United States historical transition,Child-labor and compulsory-schooling laws discussed as alternative explanation,Model fertility transition,"Model links technological change, skill demand, child labor decline, and fertility decline",MODEL_OUTCOME,Value of children,NOT_APPLICABLE_THEORY,"PDF Section 4, especially pp. 27-28",literature/pdfs/compulsory-education/W3125141375__technological-progress-and-economic-transformation.pdf
W1525462723,"Child Labor, Fertility and Economic Growth",CHILD_ECONOMIC_VALUE_THEORY,Overlapping-generations growth model,Stylized development transition,Temporary child-labor prohibition / compulsory schooling,Endogenous fertility in high- and low-child-labor steady states,Child labor raises optimal fertility; prohibition accelerates transition from high-child-labor/high-fertility trap to low-child-labor/low-fertility growth path,MODEL_OUTCOME,Value of children,NOT_APPLICABLE_THEORY,PDF abstract and introduction; policy section,literature/pdfs/compulsory-education/W1525462723__child-labor-fertility-economic-growth.pdf
W2073343854,A Theory of Occupational Choice with Endogenous Fertility,CHILD_ECONOMIC_VALUE_THEORY,Dynamic general-equilibrium occupational-choice model,Stylized steady states,Stronger child-labor regulation,Endogenous steady-state fertility,Stronger child-labor regulation shifts skill composition and is associated with lower fertility under the model's steady-state conditions,MODEL_OUTCOME,Value of children,NOT_APPLICABLE_THEORY,"PDF abstract, introduction pp. 3-4, and comparative-statics section",literature/pdfs/compulsory-education/W2073343854__theory-occupational-choice-endogenous-fertility.pdf
W2753276478,Human capital and fertility: child vs adult survival,CHILD_ECONOMIC_VALUE_THEORY,Overlapping-generations human-capital model,Stylized development transition,Child-labor regulation discussed as policy implication,Endogenous fertility and human-capital investment,Child labor lowers the cost of children and produces higher fertility and lower education; regulating child labor is needed alongside survival improvements,MODEL_OUTCOME,Value of children,NOT_APPLICABLE_THEORY,Published PDF abstract; model discussion pp. 1989-1992; conclusion,literature/pdfs/compulsory-education/W2753276478__human-capital-and-fertility-child-vs-adult-survival.pdf
W3093523732,"Child mortality, child labor, fertility, and demographics",CHILD_ECONOMIC_VALUE_THEORY,Overlapping-generations model with skilled and unskilled households,Stylized developing economy,Child-labor ban and education policy,Group-specific fertility and steady-state population composition,A child-labor ban decreases fertility for unskilled parents but increases it for skilled parents; aggregate policy implications are not uniformly fertility-reducing,MODEL_OUTCOME,Value of children,NOT_APPLICABLE_THEORY,"Repository working-paper version, policy section 4.1 and Propositions 5-6",literature/pdfs/compulsory-education/W3093523732__child-mortality-child-labor-fertility-and-demographics.pdf
W2152406420,Is Child Labor Inefficient?,CHILD_ECONOMIC_VALUE_THEORY,General-equilibrium child-labor model,Stylized economy with capital-market imperfections,Child-labor ban,Endogenous fertility response to child labor,"Child labor can be inefficient and a small ban can improve welfare, but the paper proves that fertility implications are ambiguous",MODEL_OUTCOME,Value of children,NOT_APPLICABLE_THEORY,Published PDF abstract and fertility discussion,literature/pdfs/compulsory-education/W2152406420__is-child-labor-inefficient.pdf
W1961684553,The Economics of Child Labour,CHILD_ECONOMIC_VALUE_THEORY,Household fertility and child-labor theory,Developing-country framework,Education and child-labor policy implications,"Endogenous fertility, survival, education, and gender allocation","Chapter 3 develops the joint determination of fertility, child survival, education, and the sexual division of labor",MODEL_OUTCOME,Value of children,NOT_APPLICABLE_THEORY,"First-edition chapter 3, pp. 51-68",literature/pdfs/compulsory-education/W1961684553__chapter-3-fertility-infant-mortality-and-gender.pdf
W2117090144,"Bounded rationality, expectations, and child labour",CHILD_ECONOMIC_VALUE_THEORY,Overlapping-generations model with endogenous expectations,Stylized multiple-equilibrium economy,One-time child-labor ban plus mandatory education,Optimal household fertility,A temporary ban plus mandatory education can move households from high-fertility child labor to low-fertility complete education,MODEL_OUTCOME,Value of children,NOT_APPLICABLE_THEORY,"Published PDF abstract and introduction, pp. 900-905",literature/pdfs/compulsory-education/W2117090144__bounded-rationality-expectations-child-labour.pdf
W2028140859,The effect of schooling on teenage childbearing: evidence using changes in compulsory education laws,TEMPO_COMPULSORY_SCHOOLING,Compulsory-school-leaving-law IV,Great Britain and Northern Ireland,Minimum leaving age 14 to 15 and 15 to 16,First birth by ages 17-20,Post-contraception IV estimates imply reductions of 1.0 pp by age 17 and 4.0 pp by age 20 in the preferred polynomial specification,NOT_REPORTED,Decreased teen pregnancy,MODERATE,"Published PDF Tables 2-3, pp. 769-771",literature/pdfs/compulsory-education/W2028140859__effect-schooling-teenage-childbearing-silles.pdf
W4224284165,The effect of female education on fertility: Evidence from China's compulsory schooling reform,CHILD_ECONOMIC_VALUE_QUANTUM,Staggered reform-exposure IV,"China, 2010 Census",1986 compulsory-schooling law implemented across provinces,Total live births and childlessness among married women age 35+,An additional year of female education reduces total live births by 0.238 (SE 0.059); no significant childlessness effect,NEGATIVE,Not explicit,SERIOUS,Published PDF Table 3 and mechanism section,literature/pdfs/compulsory-education/W4224284165__female-education-fertility-china-compulsory-schooling.pdf
W2752104534,The Effects of Education on Fertility: Evidence from Taiwan,CHILD_ECONOMIC_VALUE_QUANTUM,Exact-date regression discontinuity,"Taiwan, 1980 and 2010 population censuses",1968 extension of compulsory education from 6 to 9 years,Fertility status in 1980 and children ever born in 2010,Exact-date RD estimates show no effect of the reform-induced increase in women's education on fertility,NULL,Not explicit,LOW,Published PDF abstract; Tables 2-4; conclusion,literature/pdfs/compulsory-education/W2752104534__effects-education-fertility-taiwan.pdf
W4405603403,"Child Labour, Fertility, and Gender",CHILD_ECONOMIC_VALUE_THEORY,Theory-linked empirical evidence review,Historical United States and developing-country evidence,Compulsory-schooling and child-labor restrictions,Fertility linked to child labor and schooling restrictions,"The chapter reports that restrictions on children's work reduced fertility in historical US evidence, with preferred estimates explaining about 10% of the observed decline",REVIEWED_EVIDENCE,Value of children,NOT_APPLICABLE_THEORY,"Second-edition chapter 7, opening evidence review",literature/pdfs/compulsory-education/W4405603403__child-labour-fertility-gender-evidence.pdf
W4405602751,Internal Policy,CHILD_ECONOMIC_VALUE_THEORY,Policy synthesis of child-labor and education models,Stylized developing economies,Partial/total child-labor bans and compulsory education,Excess fertility treated jointly with child labor and insufficient education,"Partial child-labor limits or compulsory education can establish a self-enforcing higher-education equilibrium, whereas total bans may require complementary insurance and education policies",MODEL_IMPLICATION,Value of children,NOT_APPLICABLE_THEORY,"Second-edition chapter 9, especially policy-equilibrium discussion",literature/pdfs/compulsory-education/W4405602751__internal-policy.pdf
W4415043415,"Education, desired fertility, and HIV/AIDS: Evidence from China's compulsory schooling law",CHILD_ECONOMIC_VALUE_QUANTUM,Difference-in-differences using age-specific law exposure,China,1986 compulsory-schooling law,Desired number of children and contraceptive behavior,"One additional year of law exposure reduces women's desired number of children by 0.009, with no detectable effect for men",NOT_OBSERVED,Neither,SERIOUS,Published PDF abstract; Tables 3 and 5; fertility-preference section,literature/pdfs/compulsory-education/W4415043415__education-desired-fertility-hiv-aids.pdf
W3174215957,The effect of compulsory schooling laws and child labor restrictions on fertility: evidence from the early twentieth century,CHILD_ECONOMIC_VALUE_POST_REVIEW_SUPPLEMENT,Historical state/cohort and neighboring-border quasi-experiment,"United States, 1880-1940 cohorts/censuses",State compulsory-schooling and child-labor restrictions,Completed fertility and annual birth probability,Any-law exposure ages 20-30: -0.301 child (SE 0.044); annual birth probability: -0.0085 (SE 0.0011),NEGATIVE,Value of children; lost child earnings and increased expected quality cannot be separated,SERIOUS,"Published PDF Tables 2, 4-5, 7-8, 11; Sections 5-9",literature/pdfs/compulsory-education/W3174215957__shanan-compulsory-schooling-child-labor-fertility.pdf
